boreholeNo,depth,nValue,rqd
BH-001,1.5,42,29
BH-001,3.0,34,49
BH-001,4.5,38,98
BH-001,6.0,45,81
BH-001,7.5,24,86
BH-001,9.0,42,52
BH-001,10.5,24,64
BH-001,12.0,10,29
BH-001,13.5,2,21
BH-001,15.0,32,68
BH-001,16.5,19,69
BH-001,18.0,35,87
BH-001,19.5,35,90
BH-001,21.0,9,71
BH-001,22.5,22,2
BH-001,24.0,47,87
BH-001,25.5,16,78
BH-001,27.0,38,66
BH-001,28.5,27,49
BH-001,30.0,45,13
BH-001,31.5,36,69
BH-001,33.0,45,69
BH-002,1.5,6,58
BH-002,3.0,36,66
BH-002,4.5,11,23
BH-002,6.0,34,17
BH-002,7.5,9,28
BH-002,9.0,35,60
BH-002,10.5,21,31
BH-002,12.0,9,59
BH-002,13.5,26,49
BH-002,15.0,25,32
BH-002,16.5,2,2
BH-002,18.0,7,4
BH-002,19.5,49,46
BH-002,21.0,20,98
BH-002,22.5,48,2
BH-002,24.0,26,59
BH-002,25.5,16,30
BH-002,27.0,23,46
BH-002,28.5,11,14
BH-002,30.0,2,63
BH-002,31.5,24,59
BH-003,1.5,2,89
BH-003,3.0,49,68
BH-003,4.5,18,77
BH-003,6.0,3,70
BH-003,7.5,31,37
BH-003,9.0,32,18
BH-003,10.5,14,85
BH-003,12.0,15,40
BH-003,13.5,32,32
BH-003,15.0,24,10
BH-003,16.5,27,7
BH-003,18.0,36,36
BH-003,19.5,7,23
BH-003,21.0,31,66
BH-003,22.5,47,76
BH-003,24.0,38,39
BH-003,25.5,39,61
BH-003,27.0,19,51
BH-003,28.5,30,37
BH-003,30.0,22,78
BH-003,31.5,50,76
BH-003,33.0,32,9
BH-003,34.5,19,22
BH-003,36.0,35,96
BH-003,37.5,23,39
BH-003,39.0,46,83
BH-003,40.5,18,94
BH-003,42.0,42,48
BH-003,43.5,23,58
BH-003,45.0,41,90
BH-003,46.5,22,28
BH-003,48.0,7,83
BH-003,49.5,19,73
BH-003,51.0,32,30
BH-003,52.5,45,51
BH-003,54.0,39,41
BH-004,1.5,12,55
BH-004,3.0,21,36
BH-004,4.5,25,22
BH-004,6.0,1,43
BH-004,7.5,49,64
BH-004,9.0,31,95
BH-004,10.5,41,19
BH-004,12.0,2,1
BH-004,13.5,38,62
BH-004,15.0,49,69
BH-004,16.5,39,91
BH-004,18.0,25,19
BH-004,19.5,32,58
BH-004,21.0,40,11
BH-004,22.5,18,98
BH-004,24.0,17,96
BH-004,25.5,24,52
BH-004,27.0,40,14
