x,y,z,strike,dip,dipDirection,description
224780.96,2429631.93,121.41,122.3,22.0,SW,斷層-1
224352.79,2429544.57,74.08,3.4,34.6,E,層面-2
224618.17,2429188.96,-22.93,335.4,34.1,NE,葉理-3
224009.98,2429754.06,108.30,290.8,33.3,N,斷層-4
224359.17,2429815.21,21.67,181.5,84.5,W,層面-5
224052.38,2429282.56,40.94,91.5,75.0,S,葉理-6
224608.41,2429751.41,119.67,310.8,45.8,NE,斷層-7
224270.44,2429251.21,86.30,253.2,49.5,N,斷層-8
224843.94,2429279.95,-31.68,48.5,72.2,SE,層面-9
224104.44,2429361.61,108.15,350.4,84.1,E,斷層-10
224817.91,2429634.87,44.53,228.0,84.1,NW,葉理-11
224042.30,2429819.67,-45.05,89.1,25.1,S,斷層-12
224018.83,2429238.38,-44.53,42.9,31.6,SE,節理面-13
224094.15,2429168.13,-23.10,215.5,29.5,NW,層面-14
224693.36,2429148.94,140.59,93.2,29.3,S,層面-15
224954.83,2429559.76,128.88,346.5,59.9,E,層面-16
224327.61,2429201.78,-35.02,134.7,41.6,SW,劈理-17
224234.23,2429203.40,-26.23,73.0,42.3,S,劈理-18
224963.33,2429873.25,80.80,167.2,71.1,W,劈理-19
224738.06,2429739.37,53.91,190.9,42.4,W,劈理-20
224180.62,2429860.09,43.94,256.7,14.5,N,節理面-21
224516.39,2429182.09,107.16,325.4,45.7,NE,劈理-22
224054.81,2429511.18,-8.48,182.6,48.7,W,層面-23
224208.00,2429771.35,60.97,13.9,40.5,E,層面-24
224610.85,2429553.65,93.86,294.7,70.7,NE,斷層-25
224840.37,2429863.12,70.46,82.5,29.9,S,層面-26
224747.71,2429592.99,76.45,303.3,83.3,NE,葉理-27
224246.39,2429041.48,140.67,54.2,79.8,SE,葉理-28
224999.94,2429623.44,51.79,24.6,79.0,SE,劈理-29
224455.54,2429385.25,-49.37,183.1,31.0,W,斷層-30
224864.62,2429163.76,133.41,213.9,15.8,NW,葉理-31
224565.21,2429475.57,91.13,292.3,32.4,N,葉理-32
224639.65,2429991.70,-30.91,163.0,13.4,W,劈理-33
224363.46,2429629.79,-45.32,318.1,28.8,NE,葉理-34
224147.00,2429861.42,82.23,170.0,59.5,W,斷層-35
224575.62,2429495.06,-10.50,121.1,50.7,SW,斷層-36
224802.43,2429847.81,53.84,82.8,12.9,S,節理面-37
224811.31,2429515.71,-24.82,32.3,12.0,SE,葉理-38
224355.25,2429976.53,123.52,64.2,67.2,SE,斷層-39
224670.65,2429452.87,63.61,62.6,29.6,SE,葉理-40
224594.43,2429381.22,37.37,257.7,44.1,N,劈理-41
224168.61,2429598.04,94.29,274.4,60.4,N,層面-42
224621.11,2429565.76,47.51,2.7,63.2,E,節理面-43
224646.73,2429592.67,-7.31,231.0,66.1,NW,葉理-44
224490.88,2429073.81,5.68,106.8,58.7,S,葉理-45
224487.03,2429962.23,4.05,357.8,22.5,E,劈理-46
224092.84,2429555.64,45.81,194.1,38.6,W,劈理-47
224436.00,2429067.42,101.58,80.0,67.9,S,斷層-48
224290.96,2429944.44,23.53,262.2,62.8,N,節理面-49
224309.44,2429570.29,86.55,109.8,61.7,S,層面-50
224353.38,2429639.96,-7.59,131.2,39.6,SW,層面-51
224625.46,2429387.11,-14.26,103.6,26.2,S,層面-52
224965.69,2429496.47,118.10,16.6,36.5,E,斷層-53
224946.41,2429728.10,-2.72,65.3,45.5,SE,劈理-54
224910.05,2429024.06,-17.33,257.3,23.7,N,葉理-55
224906.97,2429711.86,144.21,7.4,83.2,E,葉理-56
224154.16,2429198.54,57.97,271.5,81.3,N,層面-57
224512.19,2429160.70,130.67,341.1,41.0,E,葉理-58
224340.90,2429873.70,38.07,113.2,74.5,SW,層面-59
224701.62,2429234.68,136.16,71.5,40.4,S,斷層-60
